3,16640,120,232,7
3,16640,125,231,7
3,16640,125,231,7
3,16640,208,339,6
3,16640,208,339,6
3,16640,170,327,6
3,16640,170,327,6
3,16640,140,331,4
3,16640,140,331,4
3,16640,117,328,4
3,16640,117,328,4
3,16640,121,117,4
3,16640,121,117,4
3,16640,284,247,6
3,16640,284,247,6
3,16640,121,117,4
3,16640,121,117,4
3,16640,123,117,4
3,16640,123,117,4
3,16640,123,117,4
3,16640,123,117,4
3,16640,121,116,4
3,16640,121,116,4
3,16640,168,264,3
3,16640,121,116,4
3,16640,121,116,4
3,16640,188,232,4
3,16640,188,232,4
3,16640,171,324,6
3,16640,171,324,6
3,16640,141,329,4
3,16640,141,329,4
3,16640,116,330,4
3,16640,116,330,4
3,16640,285,245,6
3,16640,285,245,6
3,16640,190,232,4
3,16640,190,232,4
